,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
20,CU,2025-03-31,82.7,-2.42,5.99,"Ohtani, Shohei",660271,656550,,called_strike,,,,,4,"Shohei Ohtani strikes out swinging, catcher Drake Baldwin to first baseman Matt Olson.",R,L,R,LAD,ATL,S,,,0,0,2025,0.4,-0.92,-0.59,2.63,,,,0,3,Bot,,,,,,,3.366496734254344,-120.46292785346418,0.5971732360135156,3.2640047149218674,23.13415497486963,-41.44303272902148,3.32,1.64,,,,82.0,2895,5.7,778500,686948,621566,645277,663586,606115,650559,671739,672284,54.77,,,,,,,,21,1,Curveball,2,0,2,0,0,2,2,0,Infield shade,Standard,38,0.0,-0.037,,,,0.037,,2,2,0.772,0.772,29,30,29,31,2,1,4.0,2.0,,,4.24,-0.4,0.4,43.9
21,CH,2025-03-31,84.7,-1.64,4.89,"Ohtani, Shohei",660271,445926,walk,blocked_ball,,,,,14,Shohei Ohtani walks.,R,L,R,LAD,ATL,B,,,3,1,2025,-1.21,0.02,0.57,0.51,,,,1,6,Bot,,,,,,,7.597773210410208,-123.1221658242968,-3.960059515302344,-13.810522547255344,22.993546090546253,-31.37356749811564,3.34,1.61,,,,85.1,1753,6.4,778500,686948,621566,645277,663586,606115,650559,671739,672284,54.06,,0.694137,0.7,1.0,0.0,0.0,,52,5,Changeup,6,0,6,0,0,6,6,0,Infield shade,Standard,257,0.001,0.256,,,,-0.256,,6,6,0.987,0.987,41,30,42,31,1,3,,2.0,,,3.15,1.21,-1.21,17.4
22,FC,2025-03-31,87.1,-1.66,4.87,"Ohtani, Shohei",660271,445926,,called_strike,,,,,4,Shohei Ohtani walks.,R,L,R,LAD,ATL,S,,,3,0,2025,-0.07,0.77,-0.36,2.22,,,,1,6,Bot,,,,,,,3.26602437893336,-126.89893136219828,-1.850134668679716,-1.3538888976185874,24.08803320933998,-23.634002312377124,3.37,1.64,,,,87.7,2154,6.4,778500,686948,621566,645277,663586,606115,650559,671739,672284,54.09,,,,,,,,52,4,Cutter,6,0,6,0,0,6,6,0,Infield shade,Standard,207,0.0,-0.081,,,,0.081,,6,6,0.987,0.987,41,30,42,31,1,3,,2.0,,,2.21,0.07,-0.07,18.3
23,CU,2025-03-31,72.3,-1.6,5.08,"Ohtani, Shohei",660271,445926,,ball,,,,,13,Shohei Ohtani walks.,R,L,R,LAD,ATL,B,,,2,0,2025,1.56,-0.68,-1.12,1.46,,,,1,6,Bot,,,,,,,-1.7099032674638932,-105.19420396364264,1.4490356188765356,11.82060477546863,19.632704145072605,-37.72776816062531,3.35,1.65,,,,72.0,2465,6.3,778500,686948,621566,645277,663586,606115,650559,671739,672284,54.21,,,,,,,,52,3,Curveball,6,0,6,0,0,6,6,0,Infield shade,Standard,63,0.0,0.139,,,,-0.139,,6,6,0.987,0.987,41,30,42,31,1,3,,2.0,,,5.08,-1.56,1.56,22.2
24,CH,2025-03-31,84.8,-1.67,4.96,"Ohtani, Shohei",660271,445926,,ball,,,,,13,Shohei Ohtani walks.,R,L,R,LAD,ATL,B,,,1,0,2025,-1.34,0.29,-2.1,2.27,,,,1,6,Bot,,,,,,,1.6578511996297265,-123.48138000917248,-0.5327737736144242,-14.014801447393811,24.450898633931438,-29.34961455766611,3.4,1.65,,,,85.0,1789,6.4,778500,686948,621566,645277,663586,606115,650559,671739,672284,54.15,,,,,,,,52,2,Changeup,6,0,6,0,0,6,6,0,Infield shade,Standard,253,0.0,0.072,,,,-0.072,,6,6,0.987,0.987,41,30,42,31,1,3,,2.0,,,2.88,1.34,-1.34,20.0
25,FC,2025-03-31,87.1,-1.72,4.86,"Ohtani, Shohei",660271,445926,,ball,,,,,14,Shohei Ohtani walks.,R,L,R,LAD,ATL,B,,,0,0,2025,0.05,0.8,1.01,1.93,,,,1,6,Bot,,,,,,,6.45799280022495,-126.69069859379944,-2.532624003972822,-0.7144629993024032,25.17792624198052,-23.239188031973228,3.4,1.69,,,,87.5,2203,6.5,778500,686948,621566,645277,663586,606115,650559,671739,672284,54.0,,,,,,,,52,1,Cutter,6,0,6,0,0,6,6,0,Infield shade,Standard,210,0.0,0.039,,,,-0.039,,6,6,0.987,0.987,41,30,42,31,1,3,,2.0,,,2.2,-0.05,0.05,16.1
26,FF,2025-03-31,94.4,-1.54,5.53,"Ohtani, Shohei",660271,628452,strikeout,called_strike,,,,,8,Shohei Ohtani called out on strikes.,R,L,R,LAD,ATL,S,2.0,,3,2,2025,-0.89,1.21,0.01,2.07,,,,1,8,Bot,,,,,,,5.996403066502397,-137.32547008168223,-5.945533943812157,-12.618111515437576,31.205244354479262,-15.789707309700026,3.39,1.65,,,,93.9,2345,6.1,778500,686948,621566,645277,663586,606115,650559,671739,672284,54.41,,0.0,0.0,1.0,0.0,0.0,,68,6,4-Seam Fastball,6,1,6,1,1,6,6,1,Infield shade,Standard,219,0.0,-0.332,,,,0.332,,5,5,0.995,0.995,35,30,35,31,1,4,,2.0,,,1.36,0.89,-0.89,32.9
27,FF,2025-03-31,95.5,-2.83,5.57,"Ohtani, Shohei",660271,628452,,ball,,,,,11,Shohei Ohtani called out on strikes.,R,L,R,LAD,ATL,B,,,2,2,2025,-0.77,1.4,-1.73,2.77,,,,1,8,Bot,,,,,,,4.605114618140268,-139.03188306227665,-4.875225818583581,-11.036765695549756,31.95609813615137,-13.15936724636569,3.35,1.68,,,,95.2,2289,6.1,778500,686948,621566,645277,663586,606115,650559,671739,672284,54.38,,,,,,,,68,5,4-Seam Fastball,6,1,6,1,1,6,6,1,Infield shade,Standard,220,0.0,0.108,,,,-0.108,,5,5,0.995,0.995,35,30,35,31,1,4,,2.0,,,1.1,0.77,-0.77,34.9
28,CH,2025-03-31,88.0,-1.91,5.46,"Ohtani, Shohei",660271,628452,,called_strike,,,,,1,Shohei Ohtani called out on strikes.,R,L,R,LAD,ATL,S,,,2,1,2025,-1.26,0.39,-0.61,3.0,,,,1,8,Bot,,,,,,,5.729051857171675,-128.0796062737753,-0.694558293794468,-15.05569512456593,26.248891145643004,-27.925969551599696,3.34,1.63,,,,87.7,2112,6.1,778500,686948,621566,645277,663586,606115,650559,671739,672284,54.43,,,,,,,,68,4,Changeup,6,1,6,1,1,6,6,1,Infield shade,Standard,243,0.0,-0.078,,,,0.078,,5,5,0.995,0.995,35,30,35,31,1,4,,2.0,,,2.55,1.26,-1.26,31.8
29,SL,2025-03-31,81.7,-1.8,5.51,"Ohtani, Shohei",660271,628452,,foul,,,,,8,Shohei Ohtani called out on strikes.,R,L,R,LAD,ATL,S,,,2,0,2025,1.0,0.0,-0.26,1.84,,,,1,8,Bot,,,,,,,1.54342422935127,-118.9490923902736,-1.6709790308639036,9.150128500493134,24.135911587559875,-32.05335197668298,3.36,1.6,,,,80.7,2547,5.7,778500,686948,621566,645277,663586,606115,650559,671739,672284,54.78,,,,,,,,68,3,Slider,6,1,6,1,1,6,6,1,Infield shade,Standard,65,0.0,-0.065,77.9,8.3,,0.065,,5,5,0.995,0.995,35,30,35,31,1,4,,2.0,,,3.43,-1.0,1.0,33.1
